"Отметка времени","На каком курсе вы на данный момент учитесь? ","На 1 курсе из всех предметов мне показались самыми сложными/трудозатратными/занимающими довольно много времени... ","На 2 курсе из всех предметов мне показались самыми сложными/трудозатратными/занимающими довольно много времени... ","На 3 курсе из всех предметов мне показались самыми сложными/трудозатратными/занимающими довольно много времени... ","В среднем на поиск необходимой информации в учебниках я трачу... ","Когда мне необходимо найти нужную информацию, я иду ... "
"2025/05/03 5:03:54 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Фармакология;Лучевая диагностика","10-20 минут","Искать её в книге"
"2025/05/03 5:05:16 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология","Пропедевтика внутренних болезней;Патофизиология, клиническая патофизиология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 5:05:36 PM GMT+3","3 курс","Анатомия человека;Гистология;Физика, математика","Микробиология;Нормальная физиология;Медицинская информатика;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 5:06:46 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология","Патологическая анатомия, клиническая патологическая анатомия;Фармакология","10-20 минут","Искать её в интернете"
"2025/05/03 5:09:01 PM GMT+3","3 курс","Анатомия человека;Общая и биоорганическая химия;Английский;Философия;Физика, математика","Биохимия;Микробиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Фармакология;Иммунология","Могу сидеть и искать что-то часам. Ваш проект будет для меня очень актуальным. Даже обычный GPT не всегда справляется с моими запросами. ","Всё вместе. "
"2025/05/03 5:10:08 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Микробиология;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Общая хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология;Иммунология","10-20 минут","Искать её в интернете"
"2025/05/03 5:31:53 PM GMT+3","3 курс","Анатомия человека;Биология;Гистология;Общая и биоорганическая химия;Физика, математика","Анатомия человека;Нормальная физиология;Медицинская информатика;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология","Более 20 минут","Искать её в интернете"
"2025/05/03 5:36:35 PM GMT+3","1 курс","Анатомия человека;История","","","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","Искать её в интернете"
"2025/05/03 5:39:43 PM GMT+3","3 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","Искать её в интернете"
"2025/05/03 5:49:50 PM GMT+3","2 курс","Анатомия человека;Гистология","Анатомия человека;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Еще не дошел до 3-го курса","Более 20 минут","Спрашиваю у однокурсников/одногруппников"
"2025/05/03 5:57:58 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Медицинская информатика;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 6:09:42 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в книге"
"2025/05/03 6:20:12 PM GMT+3","3 курс","Анатомия человека;Гистология;Физика, математика","Анатомия человека;Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия;Основы формирования здоровья детей","Топографическая анатомия и оперативная хирургия;Пропедевтика детских болезней;Фармакология;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 6:22:33 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека","Топографическая анатомия и оперативная хирургия;Фармакология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 6:38:45 PM GMT+3","3 курс","Гистология;Общая и биоорганическая химия;Физика, математика","Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Фармакология","5-10 минут","Искать её в книге"
"2025/05/03 6:56:09 PM GMT+3","3 курс","Ни один из вышеперечисленных","Биохимия","Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Фармакология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","1-я ступень -- книга, 2-я -- нейронки"
"2025/05/03 7:10:18 PM GMT+3","3 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Биохимия;Микробиология;Топографическая анатомия и оперативная хирургия","Патологическая анатомия, клиническая патологическая анатомия;Фармакология;Иммунология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 7:28:23 PM GMT+3","3 курс","Анатомия человека;Биология;Гистология;Философия","Биохимия;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 7:32:07 PM GMT+3","3 курс","Анатомия человека;Биология;Гистология;Общая и биоорганическая химия;Физика, математика","Анатомия человека;Биохимия;Микробиология;Нормальная физиология;Экономика;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Основы формирования здоровья детей","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология;Иммунология;Лучевая диагностика","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","Искать её в интернете"
"2025/05/03 7:37:09 PM GMT+3","2 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология;Пропедевтика внутренних болезней","Еще не дошел до 3-го курса","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","К gpt / deepseek / иным нейронкам"
"2025/05/03 7:46:31 PM GMT+3","3 курс","Анатомия человека;Гистология;Физика, математика","Анатомия человека;Биохимия;Микробиология;Нормальная физиология","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Фармакология","Более 20 минут","Спрашиваю у однокурсников/одногруппников"
"2025/05/03 8:04:29 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Фармакология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Спрашиваю у однокурсников/одногруппников"
"2025/05/03 8:04:46 PM GMT+3","3 курс","Анатомия человека;Гистология;Физика, математика","Анатомия человека;Биохимия;Нормальная физиология;Пропедевтика внутренних болезней","Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Фармакология;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 8:16:37 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Микробиология;Нормальная физиология;Медицинская информатика;Пропедевтика внутренних болезней","Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Фармакология","5-10 минут","Искать её в интернете"
"2025/05/03 8:48:55 PM GMT+3","3 курс","Гистология;Общая и биоорганическая химия;Физика, математика","Биохимия;Микробиология;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Общая хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология;Иммунология;Клиническая микробиология и вирусология;Лучевая диагностика","Меньше 5 минут","Искать её в книге"
"2025/05/03 9:02:59 PM GMT+3","3 курс","Анатомия человека;Биология;Гистология","Анатомия человека;Биохимия;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Основы формирования здоровья детей","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в книге"
"2025/05/03 10:04:05 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Пропедевтика детских болезней;Фармакология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 11:18:58 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Микробиология;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в книге"
"2025/05/03 11:54:03 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология","10-20 минут","Искать её в книге"
"2025/05/04 12:05:47 AM GMT+3","3 курс","Анатомия человека;Физика, математика","Биохимия;Нормальная физиология","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия","10-20 минут","Искать её в книге"
"2025/05/04 10:53:24 AM GMT+3","3 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Анатомия человека;Микробиология;Нормальная физиология","Патологическая анатомия, клиническая патологическая анатомия;Иммунология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","К gpt / deepseek / иным нейронкам"
"2025/05/04 12:02:45 PM GMT+3","3 курс","Общая и биоорганическая химия;Латинский язык;Физика, математика","Биохимия;Микробиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","К gpt / deepseek / иным нейронкам"
"2025/05/04 2:48:07 PM GMT+3","3 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Анатомия человека;Биохимия;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","К gpt / deepseek / иным нейронкам"
"2025/05/04 6:16:50 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Фармакология","Более 20 минут","Искать её в интернете"
"2025/05/04 6:28:01 PM GMT+3","3 курс","Анатомия человека;Гистология","Биохимия;Нормальная физиология;Пропедевтика внутренних болезней","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Пропедевтика детских болезней;Фармакология","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","Искать её в интернете"
"2025/05/04 6:39:44 PM GMT+3","3 курс","Анатомия человека;Биология;Общая и биоорганическая химия","Нормальная физиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Пропедевтика детских болезней;Лучевая диагностика","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в книге"
"2025/05/04 7:40:47 PM GMT+3","2 курс","Философия","Ни один из вышеперечисленных","Еще не дошел до 3-го курса","5-10 минут","Искать её в интернете"
"2025/05/05 7:05:28 PM GMT+3","2 курс","Анатомия человека;Гистология;Общая и биоорганическая химия;Физика, математика","Биохимия;Микробиология;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Еще не дошел до 3-го курса","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","Всё и сразу"
"2025/05/05 11:03:24 PM GMT+3","3 курс","Анатомия человека;Биология;Гистология;Общая и биоорганическая химия;Философия;Физика, математика","Анатомия человека;Биохимия;Микробиология;Нормальная физиология;Медицинская информатика;Топографическая анатомия и оперативная хирургия;Основы формирования здоровья детей","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология;Иммунология","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","К gpt / deepseek / иным нейронкам"
"2025/05/09 1:57:46 PM GMT+3","2 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Еще не дошел до 3-го курса","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/10 11:28:21 PM GMT+3","2 курс","Анатомия человека;Гистология;Общая и биоорганическая химия;Физика, математика","Анатомия человека;Биохимия;Микробиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Еще не дошел до 3-го курса","5-10 минут","Спрашиваю у однокурсников/одногруппников"
"2025/05/12 9:27:41 PM GMT+3","2 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Биохимия;Нормальная физиология","Еще не дошел до 3-го курса","5-10 минут","Искать её в интернете"
"2025/05/13 10:52:09 PM GMT+3","1 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Еще не дошел до 2-го курса","Еще не дошел до 3-го курса","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","К gpt / deepseek / иным нейронкам"
"2025/05/27 2:33:23 AM GMT+3","4+ курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Анатомия человека;Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
